t,q1,q2,q3,q4,q5,q6
0.000000,-166.153846,54.545455,38.461538,0.000000,0.000000,0.000000
0.002805,-165.592928,54.123541,38.109940,0.000000,0.000000,0.000000
0.005609,-165.046391,53.715404,37.745393,0.000000,0.000000,0.000000
0.008414,-164.513783,53.321198,37.368033,0.000000,0.000000,0.000000
0.011218,-163.994670,52.941054,36.978002,0.000000,0.000000,0.000000
0.014023,-163.488625,52.575073,36.575442,0.000000,0.000000,0.000000
0.016828,-162.995238,52.223334,36.160494,0.000000,0.000000,0.000000
0.019632,-162.514110,51.885893,35.733304,0.000000,0.000000,0.000000
0.022437,-162.044855,51.562783,35.294013,0.000000,0.000000,0.000000
0.025241,-161.587100,51.254019,34.842765,0.000000,0.000000,0.000000
0.028046,-161.140483,50.959595,34.379701,0.000000,0.000000,0.000000
0.030850,-160.704656,50.679491,33.904962,0.000000,0.000000,0.000000
0.033655,-160.279280,50.413669,33.418686,0.000000,0.000000,0.000000
0.036460,-159.864029,50.162077,32.921008,0.000000,0.000000,0.000000
0.039264,-159.458588,49.924650,32.412061,0.000000,0.000000,0.000000
0.042069,-159.062654,49.701312,31.891976,0.000000,0.000000,0.000000
0.044873,-158.675930,49.491976,31.360879,0.000000,0.000000,0.000000
0.047678,-158.298135,49.296546,30.818891,0.000000,0.000000,0.000000
0.050483,-157.928994,49.114916,30.266132,0.000000,0.000000,0.000000
0.053287,-157.568243,48.946975,29.702715,0.000000,0.000000,0.000000
0.056092,-157.215627,48.792605,29.128749,0.000000,0.000000,0.000000
0.058896,-156.870899,48.651683,28.544339,0.000000,0.000000,0.000000
0.061701,-156.533821,48.524080,27.949584,0.000000,0.000000,0.000000
0.064506,-156.204165,48.409667,27.344577,0.000000,0.000000,0.000000
0.067310,-155.881709,48.308309,26.729406,0.000000,0.000000,0.000000
0.070115,-155.566240,48.219872,26.104154,0.000000,0.000000,0.000000
0.072919,-155.257551,48.144217,25.468897,0.000000,0.000000,0.000000
0.075724,-154.955443,48.081208,24.823704,0.000000,0.000000,0.000000
0.078529,-154.659725,48.030708,24.168639,0.000000,0.000000,0.000000
0.081333,-154.370212,47.992580,23.503760,0.000000,0.000000,0.000000
0.084138,-154.086723,47.966690,22.829117,0.000000,0.000000,0.000000
0.086942,-153.809087,47.952904,22.144754,0.000000,0.000000,0.000000
0.089747,-153.537137,47.951090,21.450706,0.000000,0.000000,0.000000
0.092551,-153.270712,47.961120,20.747004,0.000000,0.000000,0.000000
0.095356,-153.009656,47.982869,20.033670,0.000000,0.000000,0.000000
