t,q1,q2,q3,q4,q5,q6
0.000000,69.230769,-36.363636,38.461538,0.000000,0.000000,0.000000
0.003729,69.910036,-36.041143,37.735402,0.000000,0.000000,0.000000
0.007458,70.581458,-35.707239,37.002140,0.000000,0.000000,0.000000
0.011188,71.244989,-35.362343,36.261818,0.000000,0.000000,0.000000
0.014917,71.900592,-35.006852,35.514493,0.000000,0.000000,0.000000
0.018646,72.548241,-34.641145,34.760213,0.000000,0.000000,0.000000
0.022375,73.187916,-34.265578,33.999016,0.000000,0.000000,0.000000
0.026104,73.819607,-33.880491,33.230935,0.000000,0.000000,0.000000
0.029833,74.443313,-33.486203,32.455993,0.000000,0.000000,0.000000
0.033563,75.059038,-33.083017,31.674208,0.000000,0.000000,0.000000
0.037292,75.666796,-32.671217,30.885587,0.000000,0.000000,0.000000
0.041021,76.266605,-32.251072,30.090133,0.000000,0.000000,0.000000
0.044750,76.858493,-31.822834,29.287838,0.000000,0.000000,0.000000
0.048479,77.442490,-31.386739,28.478691,0.000000,0.000000,0.000000
0.052208,78.018635,-30.943007,27.662670,0.000000,0.000000,0.000000
0.055938,78.586971,-30.491845,26.839747,0.000000,0.000000,0.000000
0.059667,79.147546,-30.033445,26.009887,0.000000,0.000000,0.000000
0.063396,79.700412,-29.567984,25.173049,0.000000,0.000000,0.000000
0.067125,80.245628,-29.095628,24.329182,0.000000,0.000000,0.000000
0.070854,80.783253,-28.616526,23.478230,0.000000,0.000000,0.000000
0.074583,81.313353,-28.130819,22.620127,0.000000,0.000000,0.000000
0.078313,81.835995,-27.638630,21.754803,0.000000,0.000000,0.000000
0.082042,82.351251,-27.140076,20.882177,0.000000,0.000000,0.000000
0.085771,82.859195,-26.635256,20.002162,0.000000,0.000000,0.000000
0.089500,83.359903,-26.124261,19.114662,0.000000,0.000000,0.000000
0.093229,83.853453,-25.607170,18.219572,0.000000,0.000000,0.000000
0.096958,84.339927,-25.084051,17.316782,0.000000,0.000000,0.000000
0.100688,84.819406,-24.554958,16.406168,0.000000,0.000000,0.000000
0.104417,85.291976,-24.019938,15.487602,0.000000,0.000000,0.000000
0.108146,85.757720,-23.479024,14.560942,0.000000,0.000000,0.000000
0.111875,86.216727,-22.932239,13.626040,0.000000,0.000000,0.000000
0.115604,86.669083,-22.379596,12.682735,0.000000,0.000000,0.000000
0.119333,87.114876,-21.821097,11.730856,0.000000,0.000000,0.000000
0.123063,87.554196,-21.256730,10.770222,0.000000,0.000000,0.000000
0.126792,87.987132,-20.686477,9.800638,0.000000,0.000000,0.000000
